Old prices, New prices
1.0164,1.03072
84.787,85.108
1.07677,1.08593
83.409,82.584
96.0,95.997
1.32934,1.32185
1.35135,1.36224
1.17418,1.17221
0.88047,0.88189
112.701,112.516
1.43136,1.43564
1.50985,1.49882
1.53477,1.54457
1.33335,1.32911
128.029,127.575
1.62553,1.62777
0.81239,0.81952
67.739,67.683
0.8603,0.86361
0.94398,0.94903
0.82045,0.81649
78.748,78.383
11.556,11.55
