36,80.74,2906.64,,,,,18,80.74,1453.32,,,,18,80.74,1453.32,,,,,11.9181765377272,80.74,962.27,,,,,19.0400721354399,80.74,1537.30,,,,,,,,18,80.74,1453.32,,,9
37,80.73,2987.01,,,,,18.5,80.73,1493.51,,,,19,80.73,1533.87,,,,,13.1099941914999,80.73,1058.37,,,,,21.3248807916927,80.73,1721.56,,,,,,,,18.5,80.73,1493.505,,,9.25
38,80.72,3067.36,,,,,19,80.72,1533.68,,,,19,80.72,1533.68,,,,,14.4209936106499,80.72,1164.06,,,,,23.8838664866958,80.72,1927.91,,,,,,,,19,80.72,1533.68,,,9.5
39,80.71,3147.69,80.82,,,,19.5,80.71,1573.85,80.82,,375,20,80.71,1614.20,80.82,,164.494022688864,,15.8630929717149,80.71,1280.31,80.79,,241.332684340927,,26.7499304650993,80.71,2158.99,80.78,0,,,,,,19.5,80.71,1573.845,80.8244217687074,,9.75
40,80.70,3228.00,,,,,20,80.70,1614.00,,,,20,80.70,1614.00,,,,,17.4494022688864,80.70,1408.17,,,,,29.9599221209112,80.70,2417.77,,,,,,,,20,80.70,1614,,,10
41,80.69,3308.29,,,,,20.5,80.69,1654.15,,,,21,80.69,1694.49,,,,,19.194342495775,80.69,1548.79,,,,,33.5551127754205,80.69,2707.56,,,,,,,,20.5,80.69,1654.145,,,10.25
42,80.68,3388.56,,,,,21,80.68,1694.28,,,,21,80.68,1694.28,,,,,21.1137767453525,80.68,1703.46,,,,,37.581726308471,80.68,3032.09,,,,,,,,21,80.68,1694.28,,,10.5
43,80.67,3468.81,,,,,21.5,80.67,1734.41,,,,22,80.67,1774.74,,,,,23.2251544198878,80.67,1873.57,,,,,42.0915334654875,80.67,3395.52,,,,,,,,21.5,80.67,1734.405,,,10.75
44,80.66,3549.04,,,,,22,80.66,1774.52,,,,22,80.66,1774.52,,,,,25.5476698618766,80.66,2060.68,,,,,47.142517481346,80.66,3802.52,,,,,,,,22,80.66,1774.52,,,11
45,80.65,3629.25,,,,,22.5,80.65,1814.63,,,,23,80.65,1854.95,,,,,28.1024368480643,80.65,2266.46,,,,,52.7996195791075,80.65,4258.29,,,,,,,,22.5,80.65,1814.625,,,11.25
46,80.64,3709.44,,,,,23,80.64,1854.72,,,,23,80.64,1854.72,,,,,30.9126805328707,80.64,2492.80,,,,,59.1355739286004,80.64,4768.69,,,,,,,,23,80.64,1854.72,,,11.5
47,80.63,3789.61,,,,,23.5,80.63,1894.81,,,,24,80.63,1935.12,,,,,34.0039485861578,80.63,2741.74,,,,,66.2318428000325,80.63,5340.27,,,,,,,,23.5,80.63,1894.805,,,11.75
48,80.62,3869.76,,,,,24,80.62,1934.88,,,,,80.62,0.00,,,,,37.4043434447736,80.62,3015.54,,,,,74.1796639360364,80.62,5980.36,,,,,,,,24,80.62,1934.88,,,12
49,80.61,3949.89,80.76,,,,24.5,80.61,1974.95,80.76,,576,25,80.61,2015.25,80.77,,442.59255568176,,41.144777789251,80.61,3316.68,80.70,,767.091420344701,,83.0812236083608,80.61,6697.18,80.69,,,,,,,24.5,80.61,1974.945,80.7598305084745,,12.25
50,80.60,4030.00,,,,,25,80.60,2015.00,,,,,80.60,0.00,,,,,45.2592555681761,80.60,3647.90,,,,,767.091420344701,,,,,,,,,,25,80.60,2014.99999999999,,,12.5
51,80.59,4110.09,,,,,25.5,80.59,2055.05,,,,26,80.59,2095.34,,,,,49.7851811249937,80.59,4012.19,,,,,,,,,,,,,,,25.5,80.59,2055.04499999999,,,12.75
52,80.58,4190.16,,,,,26,80.58,2095.08,,,,,80.58,0.00,,,,,54.7636992374931,80.58,4412.86,,,,,,,,,,,,,,,26,80.58,2095.07999999999,,,13
53,80.57,4270.21,,,,,26.5,80.57,2135.11,,,,27,80.57,2175.39,,,,,60.2400691612424,80.57,4853.54,,,,,,,,,,,,,,,26.5,80.57,2135.10499999999,,,13.25
54,80.56,4350.24,,,,,27,80.56,2175.12,,,,,80.56,0.00,,,,,66.2640760773666,80.56,5338.23,,,,,,,,,,,,,,,27,80.56,2175.11999999999,,,13.5
55,80.55,4430.25,,,,,27.5,80.55,2215.13,,,,28,80.55,2255.40,,,,,72.8904836851033,80.55,5871.33,,,,,,,,,,,,,,,27.5,80.55,2215.12499999999,,,13.75
56,80.54,4510.24,,,,,28,80.54,2255.12,,,,,80.54,0.00,,,,,80.1795320536136,80.54,6457.66,,,,,,,,,,,,,,,28,80.54,2255.11999999999,,,14
57,80.53,4590.21,,,,,28.5,80.53,2295.11,,,,29,80.53,2335.37,,,,,88.197485258975,80.53,7102.54,,,,,,,,,,,,,,,28.5,80.53,2295.10499999999,,,14.25
58,80.52,4670.16,,,,,29,80.52,2335.08,,,,,80.52,0.00,,,,,97.0172337848725,80.52,7811.83,,,,,,,,,,,,,,,29,80.52,2335.07999999999,,,14.5
59,80.51,4750.09,80.69,,,,29.5,80.51,2375.05,80.69,,,30,80.51,2415.30,80.72,,1163.90852879696,,106.71895716336,80.51,8591.94,80.61,,,,,,,,,,,,,,29.5,80.51,2375.04499999999,80.6946376811593,,14.75
60,80.50,4830.00,,,,,30,80.50,2415.00,,,,,80.50,0.00,,,,,117.390852879696,80.50,9449.96,,,,,,,,,,,,,,,30,80.50,2414.99999999999,,,15
61,80.49,4909.89,,,,,30.5,80.49,2454.95,,,,31,80.49,2495.19,,,,,129.129938167666,80.49,10393.67,,,,,,,,,,,,,,,30.5,80.49,2454.94499999999,,,15.25
62,80.48,4989.76,,,,,31,80.48,2494.88,,,,,80.48,0.00,,,,,142.042931984433,80.48,11431.62,,,,,,,,,,,,,,,31,80.48,2494.87999999999,,,15.5
63,80.47,5069.61,,,,,31.5,80.47,2534.81,,,,32,80.47,2575.04,,,,,156.247225182876,80.47,12573.21,,,,,,,,,,,,,,,31.5,80.47,2534.80499999999,,,15.75
64,80.46,5149.44,,,,,32,80.46,2574.72,,,,,80.46,0.00,,,,,171.871947701164,80.46,13828.82,,,,,,,,,,,,,,,32,80.46,2574.71999999999,,,16
