Old prices, New prices
80.9,80.56
1.30491,1.30807
1.37186,1.36208
1.13047,1.1057
0.87914,0.8724
110.99,109.721
1.44228,1.41742
1.48407,1.49935
1.56033,1.5612
1.28583,1.26732
126.246,125.788
1.64033,1.62458
11.549,11.438
