1st pair,2nd pair,1st base price,2nd base price,top pair,streak,spread
AUDNZD,GBPNZD,1.25103,1.90739,1,1,1.19891257
EURNZD,GBPNZD,1.6914,1.90739,2,1,0.56629412
AUDUSD,EURUSD,1.06757,1.44329,1,1,1.76293122
AUDUSD,GBPUSD,1.06757,1.62765,1,1,1.19880598
AUDUSD,NZDUSD,1.06757,0.8531,1,1,0.88604197
EURUSD,GBPUSD,1.44329,1.62765,2,1,0.56412525
EURUSD,NZDUSD,1.44329,0.8531,2,1,0.87688925
GBPUSD,NZDUSD,1.62765,0.8531,2,0,0.312764
EURAUD,GBPAUD,1.35173,1.52433,2,1,0.56672536
pair,previous price,streak
AUDCAD,1.04672,3
AUDCHF,0.85434,-1
AUDJPY,82.575,3
AUDNZD,1.2621,0
AUDUSD,1.07335,3
CADCHF,0.81631,-1
CADJPY,78.877,0
EURAUD,1.32801,-3
EURCAD,1.39023,-3
EURCHF,1.13496,-3
EURGBP,0.88162,-1
EURJPY,109.676,-3
EURNZD,1.67651,-3
EURUSD,1.42566,-3
GBPAUD,1.50622,-3
GBPCAD,1.57681,-3
GBPCHF,1.28731,-3
GBPJPY,124.392,-3
GBPNZD,1.9014,0
GBPUSD,1.61695,-3
NZDCAD,0.82906,0
NZDCHF,0.67665,-1
NZDJPY,65.4,0
NZDUSD,0.85016,0
USDCAD,0.97504,-1
USDCHF,0.79609,-1
USDJPY,76.928,0
9/1/2011
