Old prices, New prices
82.18,80.494
1.29824,1.3117
1.35443,1.37431
1.14757,1.13487
0.87555,0.87573
111.295,110.61
1.42944,1.43374
1.48278,1.49751
1.54687,1.56905
1.31059,1.29594
127.107,126.319
1.63253,1.63736
11.594,11.521
