Old prices, New prices
80.494,80.9
1.3117,1.30491
1.37431,1.37186
1.13487,1.13047
0.87573,0.87914
110.61,110.99
1.43374,1.44228
1.49751,1.48407
1.56905,1.56033
1.29594,1.28583
126.319,126.246
1.63736,1.64033
11.521,11.549
