End Date,CAD/JPY,EUR/AUD,EUR/CAD,EUR/CHF,EUR/GBP,EUR/JPY,EUR/USD,GBP/AUD,GBP/CAD,GBP/CHF,GBP/JPY,GBP/USD,ZAR/JPY
7/28/11,-27,-135,0,-23,-21,-37,-6,-118,37,4,-12,32,5
7/27/11,16,-14,23,-10,22,40,91,-53,-12,-44,14,63,10
7/26/11,-20,40,30,-128,18,-16,16,22,14,-159,-32,-3,2
7/25/11,-3,3,3,-8,0,-2,2,4,3,-8,-3,2,0
7/24/11,-16,-43,-16,-16,-21,-21,-31,-21,7,0,-5,-9,-8
