1st pair,2nd pair,1st base price,2nd base price,top pair,streak,spread
GBPJPY,126.224,0
GBPNZD,1.93957,0
GBPUSD,1.64049,0
NZDCAD,0.8265,0
NZDCHF,0.69213,0
NZDJPY,65.059,0
NZDUSD,0.84558,0
USDCAD,0.97734,0
USDCHF,0.81851,0
USDJPY,76.939,0
